All right, guys.	Được rồi, các bạn.
For those who don't have Java installed on their machines in this, we don't want to show you guys exactly how to install it correctly.	Đối với những người chưa cài đặt Java trên máy của họ, chúng tôi không muốn hướng dẫn các bạn cách cài đặt chính xác.
So open up any Web browser and simply type JDK and pretty much click on the very first link.	Vì vậy, hãy mở bất kỳ trình duyệt Web nào và chỉ cần gõ JDK và nhấp khá nhiều vào liên kết đầu tiên.
So I'm going to click on that.	Vì vậy, tôi sẽ nhấp vào đó.
And right here you can see that we have JDK and this is the current version.	Và ngay tại đây, bạn có thể thấy rằng chúng tôi có JDK và đây là phiên bản hiện tại.
So eight one four one someone to click on that.	Vì vậy, tám một bốn một người nào đó để nhấp vào đó.
And just bear in mind that if you watch this video when Javani is released, you can go ahead and download and install Java nine, because everything that we will learn in this course will apply also to Java nine.	Và chỉ cần lưu ý rằng nếu bạn xem video này khi Javani được phát hành, bạn có thể tiếp tục tải xuống và cài đặt Java nine, bởi vì mọi thứ chúng ta sẽ học trong khóa học này cũng sẽ áp dụng cho Java nine.
But right here, you can see that we have the Java Standard Edition development kit.	Nhưng ngay tại đây, bạn có thể thấy rằng chúng tôi có bộ công cụ phát triển Java Standard Edition.
And this is a version.	Và đây là một phiên bản.
And right here we have different operating systems where we can actually download JDK.	Và ngay tại đây, chúng tôi có các hệ điều hành khác nhau, nơi chúng tôi thực sự có thể tải xuống JDK.
So we have Linux, Mac, OS, Solaris or Windows.	Vì vậy, chúng tôi có Linux, Mac, OS, Solaris hoặc Windows.
So for Windows users, go ahead and download either the 64 or 32 a bit and simply go through the installation process, which will be very straightforward.	Vì vậy, đối với người dùng Windows, hãy tiếp tục và tải xuống 64 hoặc 32 một chút và chỉ cần thực hiện quá trình cài đặt, quá trình này sẽ rất đơn giản.
And for Mac OS, I'm going to recommend you guys to download Java eight or JDK through Homebrew.	Và đối với Mac OS, tôi sẽ khuyên các bạn tải xuống Java tám hoặc JDK thông qua Homebrew.
So I'm just going to type brew right here.	Vì vậy, tôi sẽ chỉ gõ bia ngay tại đây.
So if you don't have.	Vì vậy, nếu bạn không có.
So actually plug that so if you don't have a home brew.	Vì vậy, thực sự cắm như vậy nếu bạn không có một ly rượu tại nhà.
So this is the missing package manager for Mac OS and essentially is really straightforward to install.	Vì vậy, đây là trình quản lý gói còn thiếu cho Mac OS và về cơ bản, cài đặt thực sự dễ dàng.
So all you have to do is simply grab this entire script and then open up terminal or I term.	Vì vậy, tất cả những gì bạn phải làm chỉ đơn giản là lấy toàn bộ tập lệnh này và sau đó mở thiết bị đầu cuối hoặc tôi hạn.
So I'm using it term and simply paste that in.	Vì vậy, tôi đang sử dụng thuật ngữ của nó và chỉ cần dán nó vào.
So I'm not going to do this because I already have homebrew installed in my machine.	Vì vậy, tôi sẽ không làm điều này vì tôi đã cài đặt homebrew trong máy của mình.
So once you have homebrew installed, you can simply go ahead and say Brout and then dash dash version.	Vì vậy, khi bạn đã cài đặt homebrew, bạn chỉ cần tiếp tục và nói Brout và sau đó là phiên bản gạch ngang.
And you can see right here I'm using the one point 2.0 version.	Và bạn có thể thấy ngay tại đây tôi đang sử dụng phiên bản 2.0 một điểm.
Now to install JDK in your machine is really, really straightforward.	Bây giờ để cài đặt JDK trong máy của bạn thực sự rất đơn giản.
So simply say Brout and then cask install and then Java.	Vì vậy, chỉ cần nói Brout và sau đó cài đặt thùng và sau đó là Java.
So what this command will actually do is download JDK for you and accept all the user agreements.	Vì vậy, những gì lệnh này thực sự sẽ làm là tải xuống JDK cho bạn và chấp nhận tất cả các thỏa thuận của người dùng.
So that's why you were saying cask and then it will also configure Java in your machine so you don't have to do anything.	Vì vậy, đó là lý do tại sao bạn nói thùng và sau đó nó cũng sẽ cấu hình Java trong máy của bạn để bạn không phải làm gì cả.
So if I press enter, you will see that I already have Java installed so I don't have to install it.	Vì vậy, nếu tôi nhấn enter, bạn sẽ thấy rằng tôi đã cài đặt Java rồi nên không cần phải cài đặt nữa.
And in fact it's telling me that if I want to reinstall Java, I can simply run Bukovsky reinstall Java.	Và trên thực tế, nó nói với tôi rằng nếu tôi muốn cài đặt lại Java, tôi chỉ cần chạy Bukovsky cài đặt lại Java.
So for you, if you don't have Java installed in your machine, this will take some time.	Vì vậy, đối với bạn, nếu bạn chưa cài đặt Java trong máy của mình, việc này sẽ mất một chút thời gian.
But then once everything is completed, you successfully have JDK installed in your machine.	Nhưng sau khi mọi thứ hoàn tất, bạn đã cài đặt thành công JDK trong máy của mình.
Jermey in the next video.	Jeremy trong video tiếp theo.
