Edition,Phiên bản
Java,Java.
Linux,Linux.
Mac,Mac.
OS,Hệ điều hành
Web,Web.
Windows,các cửa sổ
agreements,thỏa thuận
bear,chịu
brew,ủ
cask,thùng
command,chỉ huy
completed,hoàn thành
configure,cấu hình
correctly,chính xác
current,hiện hành
dash,dấu gạch ngang
development,phát triển
download,Tải xuống
eight,tám
either,hoặc
enter,đi vào
entire,toàn bộ
essentially,bản chất
exactly,chính xác
fact,thực tế
grab,vồ lấy
guys,các bạn
install,Tải về
installation,cài đặt
installed,Cài đặt
machines,máy móc
mind,lí trí
missing,còn thiếu
nine,chín
operating,điều hành
paste,dán
plug,phích cắm
press,nhấn
pretty,đẹp
process,quá trình
reinstall,cài đặt lại
released,phát hành
run,chạy
saying,lời nói
script,kịch bản
simply,đơn giản
someone,người nào
straightforward,thẳng thắn
successfully,thành công
systems,hệ thống
telling,nói
terminal,thiết bị đầu cuối
user,người dùng
users,người dùng
version,phiên bản
video,
