Foundation	nền tảng
Project	Dự án
These	Những
Yeah	Vâng
active	hoạt động
aerial	trên không
ahead	phía trước
applications	các ứng dụng
architecture	ngành kiến ​​trúc
areas	khu vực
based	dựa trên
behind	phía sau
bit	một chút
blocking	chặn lại
boys	những cậu bé
built	được xây dựng
came	đã đến
class	lớp học
click	nhấp chuột
comes	đến
community	cộng đồng
computable	tính toán được
connect	kết nối
core	cốt lõi
covers	bìa
dedicate	dâng hiến
documentation	tài liệu
documented	được ghi lại
doors	cửa ra vào
duration	thời hạn
efficient	Có hiệu quả
engines	động cơ
exploring	khám phá
far	xa
flux	tuôn ra
fourth	thứ tư
functionally	về mặt chức năng
fundamental	cơ bản
futures	tương lai
general	chung
generation	thế hệ
group	nhóm
guide	hướng dẫn
highlighted	nhấn mạnh
ice	Nước đá
includes	bao gồm
interacts	tương tác
link	liên kết
lot	nhiều
maintained	duy trì
management	sự quản lý
micro	vi mô
mono	bệnh tăng bạch cầu đơn nhân
neatly	gọn gàng
needed	cần thiết
network	mạng lưới
non	không
offers	đề nghị
options	các tùy chọn
ordered	ra lệnh
page	trang
perfectly	hoàn hảo
project	dự án
radio	Đài
reference	tài liệu tham khảo
section	phần
sequences	trình tự
services	dịch vụ
something	cái gì đó
soul	Linh hồn
spot	nơi
spring	mùa xuân
stream's	dòng
streams	dòng
suited	phù hợp
team	đội
territorial	lãnh thổ
thing	Điều
type	kiểu
