API,API
DB,DB
Generate,Tạo ra
Lombok,Lombok
Mongo,Mongo
Nettie,Nettie
Phew,Phù
along,dọc theo
analogy,sự giống nhau
annotations,chú thích
anybody,bất kỳ ai
ardently,hăng hái
auto,Tự động
automatically,tự động
button,cái nút
close,đóng
com,com
component,thành phần
dart,phi tiêu
defaults,mặc định
dependencies,sự phụ thuộc
dependency,sự phụ thuộc
double,gấp đôi
downloading,tải xuống
downloads,tải xuống
embittered,loang lổ
empty,trống
enable,kích hoạt
enabled,được kích hoạt
enabling,cho phép
extract,trích xuất
extractor,người vắt
finis,kết thúc
folder,thư mục
generate,tạo ra
gets,được
given,được
gives,cho
greater,lớn hơn
griddle,vỉ nướng
grill,nướng
import,nhập khẩu
initialize,khởi tạo
integration,hội nhập
latest,muộn nhất
learned,đã học
lunchbox,hộp cơm trưa
maven,maven
minimal,tối thiểu
minimum,tối thiểu
mode,chế độ
mongo,mongo
naughty,nghịch ngợm
okay,Được chứ
palm,lòng bàn tay
particular,cụ thể
phone,điện thoại
plugin,cắm vào
plugins,bổ sung
potlucks,potlucks
preferences,sở thích
processes,quy trình
processors,bộ xử lý
recommendation,sự giới thiệu
recorded,ghi lại
related,liên quan
repositories,kho lưu trữ
required,cần thiết
rest,nghỉ ngơi
restart,khởi động lại
rotation,Vòng xoay
routes,các tuyến đường
screen,màn
select,lựa chọn
selected,đã chọn
server,người phục vụ
set,bộ
setup,thiết lập
soon,Sớm
space,không gian
step,bươc
steps,các bước
switch,công tắc điện
task,bài tập
testing,thử nghiệm
unchecked,không được kiểm tra
unit,đơn vị
unzip,giải nén
upload,tải lên
verb,động từ
website,trang mạng
whether,liệu
workspace,không gian làm việc
wrapper,vỏ bánh
zip,zip
zoom,thu phóng
