What's,cái gì
And,Và
Are,Chúng tôi
Because,Bởi vì
But,Nhưng
English,Tiếng Anh
How,Làm sao
I'm,Tôi
Normally,Bình thường
What,Gì
Where,Ở đâu
Why,Tại sao
better,tốt hơn
books,sách
born,sinh ra
boy,con trai
brother,Anh trai
brothers,anh em
children,bọn trẻ
daughter,Con gái
doctor,Bác sĩ
enjoy,thưởng thức
father,bố
fine,khỏe
five,số năm
freetime,thời gian rảnh
funny,buồn cười
future,Tương lai
girl,con gái
got,có
highschool,Trung học phổ thông
hobbies,sở thích
hope,mong
husband,người chồng
wife,vợ 
jam,mứt
job,việc làm
kids,trẻ em
learn,học hỏi
learning,học tập
learnt,đã học
listening,nghe
lived,đã sống
long,Dài
love,yêu và quý
major,chính
make,làm
married,cưới nhau
minutes,phút
morning,buổi sáng
mother,mẹ
music,Âm nhạc
name,Tên
near,ở gần
occupation,nghề nghiệp
office,văn phòng
often,thường xuyên
opportunities,những cơ hội
pity,điều đáng tiếc
playing,đang chơi
reading,đọc hiểu
really,có thật không
routine,công viêc hằng ngày
short,ngắn
single,Độc thân
sister,em gái
sisters,chị em gái
small,nhỏ
son,Con trai
sports,các môn thể thao
strong,mạnh
studying,học tập
takes,nhận
teacher,giáo viên
ten,mười
test,kiểm tra
think,suy nghĩ
traffic,giao thông
two,hai
usually,thông thường
videos,video
want,muốn
watching,xem
work,công việc
working,đang làm việc
years,năm
