Also,Cũng thế
Besides,ngoài ra
However,Tuy nhiên
It,Nó
Itâ€™s,Nó là
That,Cái đó
The,Các
When,Khi nào
best,tốt
boarding,Nội trú
delicious,thơm ngon
donâ€™t,không
dormitory,ký túc xá
feel,cảm thấy
first,Đầu tiên
fish,cá
follows,theo sau
foods,thức ăn
freedom,sự tự do
freely,tự do
friends,bạn bè
go,đi
good,tốt
great,tuyệt quá
grilled,nướng
happy,vui mừng
helps,giúp đỡ
hobby,sở thích
home,Trang Chủ
hot,nóng bức
house,nhà ở
keep,giữ
last,Cuối cùng
late,muộn
like,giống
living,cuộc sống
many,nhiều
much,nhiều
one,một
opinion,ý kiến
pet,vật nuôi
play,chơi
pot,nồi
quiet,Yên tĩnh
reasons,lý do
relativeâ€™s,tương đối
relax,thư giãn
sad,buồn
school,trường học
seafood,đồ ăn biển
second,thứ hai
soup,Súp
sour,chua
study,học
thanks,cảm ơn
time,thời gian
uncomfortable,khó chịu
university,trường đại học
well,tốt
